"Australian Dollar","Options","8,177","0","0","8,177","61,097","2,126"
"Australian Dollar","Calls","4,229","0","0","4,229","30,275","1,349"
"Australian Dollar","Puts","3,948","0","0","3,948","30,822","777"
"British Pound","Options","2,319","0","0","2,319","99,165","750"
"British Pound","Calls","1,336","0","0","1,336","45,221","643"
"British Pound","Puts","983","0","0","983","53,944","107"
"Canadian Dollar","Options","5,196","50","0","5,246","65,520","2,331"
"Canadian Dollar","Calls","3,047","0","0","3,047","35,267","1,628"
"Canadian Dollar","Puts","2,149","50","0","2,199","30,253","703"
"Euro FX","Options","13,830","920","0","14,750","327,514","3,504"
"Euro FX","Calls","6,392","560","0","6,952","136,010","2,012"
"Euro FX","Puts","7,438","360","0","7,798","191,504","1,492"
"Japanese Yen","Options","6,788","684","0","7,472","132,803","1,282"
"Japanese Yen","Calls","2,548","372","0","2,920","60,966","432"
"Japanese Yen","Puts","4,240","312","0","4,552","71,837","850"
"Swiss Franc","Options","65","0","0","65","8,101","-5"
"Swiss Franc","Calls","27","0","0","27","4,327","18"
"Swiss Franc","Puts","38","0","0","38","3,774","-23"
"Gold","Options","46,866","10,585","6,937","64,388","1,456,116","22,661"
"Gold","Calls","21,661","5,505","3,132","30,298","1,049,160","14,656"
"Gold","Puts","25,205","5,080","3,805","34,090","406,956","8,005"
2015-07-24
