"Australian Dollar","Options","2,456","0","0","2,456","33,444","306"
"Australian Dollar","Calls","921","0","0","921","16,503","150"
"Australian Dollar","Puts","1,535","0","0","1,535","16,941","156"
"British Pound","Options","1,866","10","0","1,876","69,239","389"
"British Pound","Calls","1,170","5","0","1,175","33,494","-32"
"British Pound","Puts","696","5","0","701","35,745","421"
"Canadian Dollar","Options","2,041","0","0","2,041","29,058","378"
"Canadian Dollar","Calls","1,159","0","0","1,159","15,315","26"
"Canadian Dollar","Puts","882","0","0","882","13,743","352"
"Euro FX","Options","12,245","30","0","12,275","174,764","1,787"
"Euro FX","Calls","7,162","15","0","7,177","84,432","1,407"
"Euro FX","Puts","5,083","15","0","5,098","90,332","380"
"Japanese Yen","Options","993","0","0","993","76,491","386"
"Japanese Yen","Calls","688","0","0","688","35,649","300"
"Japanese Yen","Puts","305","0","0","305","40,842","86"
"Swiss Franc","Options","36","0","0","36","2,380","12"
"Swiss Franc","Calls","17","0","0","17","1,503","-4"
"Swiss Franc","Puts","19","0","0","19","877","16"
"Gold","Options","16,931","0","8,414","25,345","1,081,152","7,402"
"Gold","Calls","9,589","0","3,852","13,441","711,093","4,918"
"Gold","Puts","7,342","0","4,562","11,904","370,059","2,484"
2017-05-15
