"Australian Dollar","Options","6,015","0","0","6,015","56,847","2,064"
"Australian Dollar","Calls","4,505","0","0","4,505","28,397","1,987"
"Australian Dollar","Puts","1,510","0","0","1,510","28,450","77"
"British Pound","Options","2,691","16","0","2,707","83,322","552"
"British Pound","Calls","1,493","8","0","1,501","40,609","240"
"British Pound","Puts","1,198","8","0","1,206","42,713","312"
"Canadian Dollar","Options","2,044","200","0","2,244","36,527","412"
"Canadian Dollar","Calls","1,237","0","0","1,237","16,876","201"
"Canadian Dollar","Puts","807","200","0","1,007","19,651","211"
"Euro FX","Options","39,911","344","0","40,255","171,884","5,912"
"Euro FX","Calls","22,040","332","0","22,372","89,542","3,307"
"Euro FX","Puts","17,871","12","0","17,883","82,342","2,605"
"Japanese Yen","Options","15,566","305","400","16,271","110,655","2,305"
"Japanese Yen","Calls","8,442","60","0","8,502","59,859","1,166"
"Japanese Yen","Puts","7,124","245","400","7,769","50,796","1,139"
"Swiss Franc","Options","328","0","0","328","6,041","77"
"Swiss Franc","Calls","132","0","0","132","3,197","9"
"Swiss Franc","Puts","196","0","0","196","2,844","68"
"Gold","Options","87,896","25","16,966","104,887","1,220,379","6,441"
"Gold","Calls","54,108","0","12,541","66,649","835,183","4,356"
"Gold","Puts","33,788","25","4,425","38,238","385,196","2,085"
2016-11-09
